id,code,title,credits,dept,typical_terms,professor_id
1,ENGL 11000,Freshman Composition,3,ENGLISH,"F,S",1
2,ENGL 21001,Writing for Humanitities and Arts,3,ENGLISH,"F,S",2
3,MATH 20100,Calculus 1,4,MATH,"F,S,Su",3
4,MATH 21200,Calculus 2 with Introduction to Multivariable Functions,4,MATH,"F,S,Su",3
5,MATH 21300,Calculus 3 with Vector Analysis,4,MATH,"F,S,Su",4
6,MATH 30800,Bridge to Advanced Mathematics,3,MATH,"F,S",5
7,MATH 32300,Advanced Calculus 1,4,MATH,"F,S",6
8,MATH 32404,Advanced Calculus 2,4,MATH,"F,S",7
9,MATH 34600,Elements of Linear Algebra,3,MATH,"F,S",5
10,MATH 34700,Elements of Modern Algebra,4,MATH,S,8
11,CSC 10800,Foundations of Data Science,3,COMPUTER SCIENCE,"F,S",9
12,CHEM 10301,General Chemistry 1,4,SCIENCE ,"F,S,Su",10
13,ANTH 10100,Introduction to Anthropology,3,ANTHROPOLOGY ,"F,S ",11
14,SPAN 12104,Intro Spanish 1,3,CLASSICAL AND MODERN LANGUAGES LITERATURE,"F,S",12
15,HIST 24100,The United States: Since 1865,3,HISTORY,"F,S",13
16,ART 10000,Introduction to the Visual Arts of the World,3,ART,"F,S",14
17,ANTH 20100,Cross-Cultural Perspectives,3,ANTHROPOLOGY ,"F,S",15
18,CHEM 10401,General Chemistry 2,4,SCIENCE ,"F,S,Su",10
19,MATH 39100,Methods of Differential Equations,3,MATH,"F,S,Su",16
20,MATH 32800,Methods of Numerical Analysis,3,MATH,"F,S",17
21,MATH 36500,Elements of Combinatorics,3,MATH,"F,S",18
